"key","position","name"
"conf/aaai/0001JT16",0,"Bart Bogaerts 0001"
"conf/aaai/0001JT16",1,"Tomi Janhunen"
"conf/aaai/0001JT16",2,"Shahab Tasharrofi"
"conf/aaai/0001M13",0,"Chang Wang 0001"
"conf/aaai/0001M13",1,"Sridhar Mahadevan"
"conf/aaai/0001STS15",0,"Jie Xu 0001"
"conf/aaai/0001STS15",1,"Daby M. Sow"
"conf/aaai/0001STS15",2,"Deepak S. Turaga"
"conf/aaai/0001STS15",3,"Mihaela van der Schaar"
"conf/aaai/0001T15",0,"Claudia Schulz 0001"
"conf/aaai/0001T15",1,"Francesca Toni"
"conf/aaai/0001TZLL14",0,"Jing Zhang 0001"
"conf/aaai/0001TZLL14",1,"Jie Tang"
"conf/aaai/0001TZLL14",3,"Honglei Zhuang"
"conf/aaai/0001TZLL14",3,"Cane Wing-Ki Leung"
"conf/aaai/0001TZLL14",4,"Juan-Zi Li"
"conf/aaai/0001VD15",0,"Bart Bogaerts 0001"
"conf/aaai/0001VD15",1,"Joost Vennekens"
"conf/aaai/0001VD15",2,"Marc Denecker"
"conf/aaai/0001YT15",0,"Xi Peng 0001"
"conf/aaai/0001YT15",1,"Zhang Yi 0001"
"conf/aaai/0001YT15",2,"Huajin Tang"
"conf/aaai/0002GYSZL14",0,"Bo Yang 0002"
"conf/aaai/0002GYSZL14",1,"Hua Guo"
"conf/aaai/0002GYSZL14",2,"Yi Yang"
"conf/aaai/0002GYSZL14",3,"Benyun Shi"
"conf/aaai/0002GYSZL14",4,"Xiao-Nong Zhou"
"conf/aaai/0002GYSZL14",5,"Jiming Liu"
"conf/aaai/0002Z15",0,"Bo Yang 0002"
"conf/aaai/0002Z15",1,"Xuehua Zhao"
"conf/aaai/0002ZL15",0,"Bo Yang 0002"
"conf/aaai/0002ZL15",1,"Xuehua Zhao"
"conf/aaai/0002ZL15",2,"Xueyan Liu"
"conf/aaai/0003MGF14",0,"Wei Li 0002"
"conf/aaai/0003MGF14",1,"Justin Matejka"
"conf/aaai/0003MGF14",2,"Tovi Grossman"
"conf/aaai/0003MGF14",3,"George W. Fitzmaurice"
"conf/aaai/0004ZK16",0,"Shuai Zheng 0004"
"conf/aaai/0004ZK16",1,"Ruiliang Zhang"
"conf/aaai/0004ZK16",2,"James T. Kwok"
"conf/aaai/0005YJZ15",0,"Lijun Zhang 0005"
"conf/aaai/0005YJZ15",1,"Tianbao Yang"
"conf/aaai/0005YJZ15",2,"Rong Jin"
"conf/aaai/0005YJZ15",3,"Zhi-Hua Zhou"
"conf/aaai/0005YYJZ16",0,"Lijun Zhang 0005"
"conf/aaai/0005YYJZ16",1,"Tianbao Yang"
"conf/aaai/0005YYJZ16",2,"Jinfeng Yi"
"conf/aaai/0005YYJZ16",3,"Rong Jin"
"conf/aaai/0005YYJZ16",4,"Zhi-Hua Zhou"
"conf/aaai/0011DWQH16",0,"Hao Chen 0011"
"conf/aaai/0011DWQH16",1,"Qi Dou"
"conf/aaai/0011DWQH16",2,"Xi Wang"
"conf/aaai/0011DWQH16",3,"Jing Qin"
"conf/aaai/0011DWQH16",4,"Pheng-Ann Heng"
"conf/aaai/0011QCH16",0,"Hao Chen 0011"
"conf/aaai/0011QCH16",1,"Xiaojuan Qi"
"conf/aaai/0011QCH16",2,"Jie-Zhi Cheng"
"conf/aaai/0011QCH16",3,"Pheng-Ann Heng"
"conf/aaai/AbbasnejadDS15",0,"Ehsan Abbasnejad"
"conf/aaai/AbbasnejadDS15",1,"Justin Domke"
"conf/aaai/AbbasnejadDS15",2,"Scott Sanner"
