Cod_setor;Situacao_setor;V062;V063;V064;V065;V066;V067;V068;V081;V082;V083;V084;V085;V086;V087
230010105000001;1;43;54;45;31;17;4;8;23;20;7;4;1;6;17
230010105000002;1;5;12;11;13;4;4;2;8;5;5;4;3;1;2
230010105000003;1;13;31;21;7;3;5;5;7;6;5;5;2;4;6
230010105000004;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230010105000005;8;8;12;13;14;5;11;6;1;6;0;1;1;0;6
230010105000006;8;20;30;37;26;8;15;15;9;9;10;3;2;3;6
230010105000007;8;7;17;13;11;3;6;4;5;3;3;4;1;3;4
230010105000008;5;2;5;5;3;6;6;1;3;1;3;3;1;0;0
230010105000009;8;15;34;29;30;16;10;7;6;2;5;3;1;1;1
230010105000010;1;0;1;1;2;1;0;0;1;0;0;1;0;0;0
230010105000011;1;1;3;4;6;2;2;0;0;1;1;0;0;0;0
230010105000012;1;30;32;18;9;2;4;7;9;7;5;4;0;1;7
230010105000013;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230010105000014;1;9;20;16;9;7;9;0;2;5;4;2;3;2;3
230010105000015;1;1;7;7;6;4;3;0;1;0;1;1;0;2;1
230010105000017;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230010105000018;1;2;7;7;9;0;3;0;1;1;0;1;2;1;0
230010105000019;1;8;14;13;8;6;13;2;6;5;3;5;4;4;3
230010105000021;1;28;41;26;17;3;2;8;12;8;10;5;1;2;9
230010105000022;8;20;36;38;21;14;6;13;12;8;6;3;2;2;5
230010105000023;8;13;19;17;12;4;10;7;7;10;11;4;4;5;2
230010105000024;8;2;2;4;3;1;2;1;3;0;0;1;1;0;0
230010105000025;8;10;13;14;13;5;12;6;3;4;2;5;1;3;6
230010105000026;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230010120000001;1;13;16;16;2;4;0;1;16;20;13;8;5;1;7
230010120000002;8;5;5;7;5;6;8;2;16;14;25;10;7;3;4
230010120000003;8;20;37;45;15;10;10;9;5;7;4;6;2;2;7
230010120000004;8;21;52;50;28;10;9;11;15;12;7;4;4;2;10
230015005000001;1;10;14;8;3;6;1;4;17;30;18;16;5;2;6
230015005000002;1;15;28;25;14;6;3;10;13;9;16;7;5;10;4
230015005000003;1;8;22;20;11;2;10;6;14;17;16;8;7;8;7
230015005000004;1;13;40;27;16;10;3;15;28;19;15;8;3;6;6
230015005000005;1;24;37;47;27;9;10;21;27;42;22;15;17;13;6
230015005000006;1;5;15;11;10;2;4;7;18;13;10;3;1;7;8
230015005000007;1;10;28;32;15;7;2;8;7;12;12;12;3;4;4
230015005000008;1;17;33;15;15;8;2;3;14;10;9;5;3;3;6
230015005000009;8;19;25;22;22;13;5;19;7;14;10;4;7;13;5
230015005000010;5;8;12;6;5;4;2;3;14;24;20;10;6;8;2
230015005000011;5;6;7;13;8;5;2;2;2;1;1;1;0;0;2
230015005000012;8;20;21;24;14;5;7;16;5;10;9;6;3;2;4
230015005000013;8;29;44;35;24;14;5;17;8;8;5;3;3;2;5
230015005000014;8;11;9;11;4;2;2;18;16;14;19;23;7;11;5
230015005000015;5;16;43;33;15;6;5;15;15;13;5;5;3;2;7
230015005000016;5;18;47;44;26;13;14;11;15;16;21;10;9;7;4
230015005000017;8;8;13;12;8;11;2;3;3;1;3;2;1;3;2
230015005000018;5;6;8;9;4;1;4;2;5;6;4;1;1;1;3
230015005000020;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230015005000022;1;22;27;24;14;3;1;8;21;20;19;14;7;4;7
230015005000023;1;14;29;36;23;6;6;3;13;20;20;6;6;4;7
230015005000024;1;10;18;21;6;2;6;8;12;18;11;7;5;7;7
230015005000025;1;7;20;14;9;2;9;3;2;4;4;3;4;0;2
230015005000026;1;16;19;22;13;6;4;16;14;17;16;13;9;7;2
230015005000028;5;4;15;11;6;3;5;10;1;2;4;2;1;2;0
230015005000029;5;2;15;16;6;1;1;6;3;6;0;0;0;1;2
230015005000031;8;20;31;18;16;7;7;11;7;4;0;2;2;0;5
230015005000032;8;8;7;11;5;4;0;14;25;38;35;24;15;16;6
230015005000033;8;5;8;12;6;1;3;9;3;6;3;0;2;0;0
230015005000034;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230015005000035;4;2;3;10;1;1;2;2;10;6;7;6;4;0;4
230020005000001;1;14;20;24;5;7;2;5;16;23;11;5;1;2;9
230020005000002;1;22;39;24;15;9;9;9;22;14;8;7;2;3;4
230020005000003;1;14;52;26;20;13;6;10;17;22;23;8;8;8;4
230020005000004;1;21;23;34;12;9;4;9;14;15;18;11;4;10;4
230020005000005;1;11;12;10;15;5;5;13;25;21;37;16;8;8;4
230020005000006;1;20;18;21;11;4;4;0;8;12;11;10;3;4;7
230020005000007;1;22;44;38;26;12;14;13;13;15;12;11;8;3;6
230020005000008;1;16;28;33;13;5;4;8;11;17;8;7;3;6;9
230020005000009;1;33;43;52;23;13;10;7;18;22;7;7;8;5;4
230020005000010;1;25;38;39;29;8;11;9;11;18;12;6;5;8;6
230020005000011;1;10;28;19;11;19;8;9;9;13;24;12;6;10;8
230020005000012;1;27;28;39;23;13;8;11;18;21;28;17;5;15;8
230020005000013;1;25;22;20;12;11;13;13;16;18;12;7;6;12;1
230020005000014;2;34;51;45;39;12;17;15;38;39;33;27;5;18;15
230020005000015;2;7;9;13;12;6;2;6;4;6;4;4;2;3;0
230020005000016;1;17;23;20;13;6;5;6;8;9;6;7;7;6;6
230020005000017;1;20;26;29;21;10;8;5;8;13;11;4;5;3;5
230020005000018;8;11;11;17;14;8;1;5;18;23;28;20;12;8;6
230020005000019;8;10;21;16;6;9;2;0;1;5;0;3;0;3;1
230020005000020;8;24;51;36;26;13;11;16;13;11;4;2;1;0;6
230020005000021;8;36;64;80;40;27;32;14;12;11;12;7;2;6;5
230020005000022;8;16;20;25;19;6;10;9;6;6;11;2;2;2;4
230020005000023;8;23;28;24;22;20;9;8;4;3;7;3;4;2;3
230020005000024;8;11;27;17;15;9;5;20;19;33;42;32;16;17;4
230020005000025;8;14;8;7;7;3;6;4;3;0;1;0;0;0;1
230020005000026;8;17;29;10;11;6;8;15;20;38;38;33;14;20;1
230020005000027;8;44;74;56;57;47;58;25;14;28;17;19;11;18;1
230020005000028;8;9;12;11;4;9;11;7;6;6;1;1;0;0;2
230020005000029;8;16;26;15;12;9;4;2;13;12;18;7;4;10;4
230020005000030;1;11;12;24;9;6;2;9;17;21;24;7;4;3;3
230020005000031;1;23;45;38;17;10;14;12;19;16;21;11;7;9;7
230020005000032;1;17;34;33;21;6;11;6;11;13;9;6;6;6;7
230020005000033;1;20;43;49;31;11;8;7;14;13;15;10;6;8;7
230020005000034;1;11;18;29;7;3;4;5;19;23;21;12;8;3;2
230020005000035;1;11;15;21;6;10;12;2;12;22;11;13;9;7;4
230020005000036;1;9;41;45;22;9;9;8;15;20;21;12;5;8;4
230020005000037;1;12;32;30;16;12;13;8;11;15;13;6;5;4;8
230020005000038;1;14;23;24;17;10;8;11;14;15;6;10;4;5;1
230020005000039;2;3;15;12;5;7;1;11;12;10;18;8;2;6;2
230020005000040;2;40;63;65;45;20;34;20;18;33;33;34;12;12;15
230020005000041;1;18;40;19;31;7;13;10;14;22;18;11;7;7;5
230020005000042;1;3;2;3;4;2;3;1;6;1;6;2;1;1;0
230020005000043;1;15;21;21;10;8;2;10;14;31;21;16;17;13;4
230020005000044;8;6;8;11;7;6;11;3;5;3;6;6;1;2;0
230020005000046;5;1;1;2;2;2;0;0;0;0;1;2;0;0;1
230020005000047;8;12;20;24;11;8;9;4;8;0;6;2;1;1;0
230020010000001;1;34;48;36;20;14;10;7;17;17;13;6;1;2;9
230020010000002;1;10;24;27;6;8;3;4;14;15;9;7;4;3;4
230020010000003;8;18;24;18;20;9;6;11;15;12;11;5;6;5;6
230020010000004;8;24;20;8;11;7;9;9;14;27;38;22;13;23;3
230020010000005;8;18;17;25;22;14;10;7;12;6;7;5;4;4;7
230020010000006;8;13;23;20;11;5;9;5;5;4;3;5;0;2;2
230020010000007;8;18;32;27;22;7;10;2;4;2;7;4;0;1;5
230020010000008;8;14;25;27;23;9;13;7;8;7;5;10;0;5;8
230020010000009;5;24;36;25;19;10;8;4;13;14;9;2;1;2;3
230020010000010;5;10;9;17;10;5;4;8;6;8;6;5;1;0;2
230020010000011;8;11;17;18;15;5;4;6;26;50;50;18;10;26;8
230020010000012;8;6;14;18;8;0;4;5;6;7;3;2;0;1;3
230020010000013;8;16;38;25;13;7;5;3;3;7;5;3;1;3;4
230020010000014;1;16;20;17;8;4;5;10;12;18;12;9;8;3;6
230020010000015;8;4;11;6;2;2;1;5;9;13;4;6;7;2;1
230020010000016;8;10;17;18;13;8;2;1;4;3;2;1;3;1;2
230020010000017;5;9;18;9;5;4;4;5;7;6;2;2;1;0;2
230020030000001;1;18;18;9;12;6;7;4;4;10;9;7;4;4;4
230020030000002;8;19;41;42;20;15;34;9;7;17;11;7;4;11;3
230020030000003;8;0;1;2;4;1;1;0;3;0;2;0;0;0;1
230020030000004;8;6;14;12;6;2;4;5;10;15;13;11;9;7;4
230020030000005;8;26;30;31;21;16;12;14;9;11;5;4;3;3;6
230020030000006;8;5;17;8;5;7;9;7;10;17;18;12;7;15;2
230020030000007;8;18;30;36;25;11;17;9;12;23;22;11;8;2;4
230020030000008;8;33;49;51;32;18;15;20;14;8;17;3;6;5;10
230020030000009;8;7;16;30;7;5;2;5;20;27;30;20;11;10;7
230020030000010;8;20;27;24;17;7;24;5;14;8;6;6;4;5;6
230020030000011;8;4;9;5;4;4;4;2;0;2;0;0;0;1;0
230020030000012;8;9;6;6;10;2;9;4;0;3;5;7;3;3;1
230020030000013;5;22;38;25;15;8;10;14;19;20;14;21;9;14;2
230020030000014;8;7;13;17;14;6;9;5;4;7;7;3;1;4;2
230020030000015;5;8;22;17;2;13;9;3;6;18;21;19;14;12;0
230020030000016;1;41;51;36;17;16;8;15;49;84;84;46;18;18;17
230020030000017;5;4;16;21;8;5;6;4;7;3;4;4;1;4;1
230020040000001;1;12;24;27;17;5;8;5;13;22;7;1;3;3;5
230020040000002;8;16;32;18;26;12;10;6;10;8;10;10;1;8;1
230020040000003;8;19;19;24;18;10;23;6;3;2;5;5;3;3;0
230020040000004;8;10;25;21;14;10;23;14;7;10;8;4;2;4;1
230020040000005;8;1;1;2;2;1;4;0;0;0;0;0;0;0;1
230030905000001;1;16;28;26;10;7;3;9;14;21;15;7;1;2;12
230030905000002;1;25;20;19;7;2;0;18;38;34;17;7;4;4;22
230030905000003;1;16;9;19;1;2;0;4;14;7;7;0;1;0;18
230030905000004;1;35;33;40;17;2;2;8;19;9;10;7;0;1;11
230030905000005;1;17;19;18;8;2;1;7;18;16;8;6;1;3;14
230030905000006;1;5;21;11;9;1;0;4;18;22;24;13;6;3;8
230030905000007;1;26;23;33;12;4;3;10;18;23;14;5;5;1;19
230030905000008;1;4;12;4;2;0;1;2;7;8;1;1;4;0;2
230030905000009;1;22;23;18;10;4;2;9;12;13;13;7;1;3;6
230030905000010;1;9;8;5;7;2;0;6;14;19;12;2;0;0;7
230030905000011;1;14;15;19;5;3;1;2;13;10;10;2;0;0;4
230030905000012;1;3;9;2;1;0;0;2;4;8;6;0;1;1;2
230030905000013;1;20;22;34;10;2;1;4;8;9;6;5;2;1;2
230030905000014;1;41;57;52;22;7;3;15;28;35;21;8;3;1;30
230030905000015;1;31;23;23;22;4;2;17;49;56;44;23;5;4;23
230030905000016;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230030905000017;1;30;49;33;23;6;2;19;18;16;10;5;6;3;12
230030905000018;1;34;45;39;13;8;8;15;14;26;17;8;5;1;12
230030905000019;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
