"";"Cod_setor";"Situacao_setor";"V062";"V063";"V064";"V065";"V066";"V067";"V068";"V081";"V082";"V083";"V084";"V085";"V086";"V087";"qtdH";"qtdM";"Predominancia"
"1";230010105000001;1;43;54;45;31;17;4;8;23;20;7;4;1;6;17;202;78;"Homem"
"2";230010105000002;1;5;12;11;13;4;4;2;8;5;5;4;3;1;2;51;28;"Homem"
"3";230010105000003;1;13;31;21;7;3;5;5;7;6;5;5;2;4;6;85;35;"Homem"
"4";230010105000004;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";230010105000005;8;8;12;13;14;5;11;6;1;6;0;1;1;0;6;69;15;"Homem"
"6";230010105000006;8;20;30;37;26;8;15;15;9;9;10;3;2;3;6;151;42;"Homem"
"7";230010105000007;8;7;17;13;11;3;6;4;5;3;3;4;1;3;4;61;23;"Homem"
"8";230010105000008;5;2;5;5;3;6;6;1;3;1;3;3;1;0;0;28;11;"Homem"
"9";230010105000009;8;15;34;29;30;16;10;7;6;2;5;3;1;1;1;141;19;"Homem"
"10";230010105000010;1;0;1;1;2;1;0;0;1;0;0;1;0;0;0;5;2;"Homem"
"11";230010105000011;1;1;3;4;6;2;2;0;0;1;1;0;0;0;0;18;2;"Homem"
"12";230010105000012;1;30;32;18;9;2;4;7;9;7;5;4;0;1;7;102;33;"Homem"
"13";230010105000013;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";230010105000014;1;9;20;16;9;7;9;0;2;5;4;2;3;2;3;70;21;"Homem"
"15";230010105000015;1;1;7;7;6;4;3;0;1;0;1;1;0;2;1;28;6;"Homem"
"16";230010105000017;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";230010105000018;1;2;7;7;9;0;3;0;1;1;0;1;2;1;0;28;6;"Homem"
"18";230010105000019;1;8;14;13;8;6;13;2;6;5;3;5;4;4;3;64;30;"Homem"
"19";230010105000021;1;28;41;26;17;3;2;8;12;8;10;5;1;2;9;125;47;"Homem"
"20";230010105000022;8;20;36;38;21;14;6;13;12;8;6;3;2;2;5;148;38;"Homem"
"21";230010105000023;8;13;19;17;12;4;10;7;7;10;11;4;4;5;2;82;43;"Homem"
"22";230010105000024;8;2;2;4;3;1;2;1;3;0;0;1;1;0;0;15;5;"Homem"
"23";230010105000025;8;10;13;14;13;5;12;6;3;4;2;5;1;3;6;73;24;"Homem"
