"","name","iso_a3","currency_code","local_price","dollar_ex","GDP_dollar","date","dollar_price"
"1","Brazil","BRA","BRL",2.95,1.79,"","2000-04-01",1.64804469273743
"2","Russia","RUS","RUB",39.5,28.5,"","2000-04-01",1.3859649122807
"3","Sweden","SWE","SEK",24,8.84,"","2000-04-01",2.71493212669683
"4","Switzerland","CHE","CHF",5.9,1.7,"","2000-04-01",3.47058823529412
"5","United States","USA","USD",2.51,1,"","2000-04-01",2.51
"6","Brazil","BRA","BRL",3.6,2.19,"","2001-04-01",1.64383561643836
"7","Russia","RUS","RUB",35,28.9,"","2001-04-01",1.21107266435986
"8","Sweden","SWE","SEK",24,10.28,"","2001-04-01",2.33463035019455
"9","Switzerland","CHE","CHF",6.3,1.73,"","2001-04-01",3.64161849710983
"10","United States","USA","USD",2.54,1,"","2001-04-01",2.54
"11","Brazil","BRA","BRL",3.6,2.34,"","2002-04-01",1.53846153846154
"12","Norway","NOR","NOK",35,8.56,"","2002-04-01",4.08878504672897
"13","Russia","RUS","RUB",39,31.2,"","2002-04-01",1.25
"14","Sweden","SWE","SEK",26,10.4,"","2002-04-01",2.5
"15","Switzerland","CHE","CHF",6.3,1.66,"","2002-04-01",3.79518072289157
"16","United States","USA","USD",2.49,1,"","2002-04-01",2.49
"17","Brazil","BRA","BRL",4.55,3.07,"","2003-04-01",1.48208469055375
"18","Egypt","EGY","EGP",8,5.92,"","2003-04-01",1.35135135135135
"19","Russia","RUS","RUB",41,31.1,"","2003-04-01",1.31832797427653
"20","Sweden","SWE","SEK",30,8.34,"","2003-04-01",3.59712230215827
"21","Switzerland","CHE","CHF",6.3,1.37,"","2003-04-01",4.5985401459854
"22","United States","USA","USD",2.71,1,"","2003-04-01",2.71
"23","Brazil","BRA","BRL",5.4,3.18,"","2004-05-01",1.69811320754717
"24","Egypt","EGY","EGP",10,6.19,"","2004-05-01",1.61550888529887
"25","Norway","NOR","NOK",35.5,6.8491,"","2004-05-01",5.18316275131039
"26","Russia","RUS","RUB",42,29,"","2004-05-01",1.44827586206897
"27","Sweden","SWE","SEK",30,7.61,"","2004-05-01",3.94218134034166
"28","Switzerland","CHE","CHF",6.3,1.29,"","2004-05-01",4.88372093023256
"29","Ukraine","UKR","UAH",7.25,5.3315,"","2004-05-01",1.35984244584076
"30","United States","USA","USD",2.9,1,"","2004-05-01",2.9
"31","Brazil","BRA","BRL",5.9,2.4648,"","2005-06-01",2.39370334307043
"32","Egypt","EGY","EGP",9,5.8,"","2005-06-01",1.55172413793103
"33","Norway","NOR","NOK",39,6.4326,"","2005-06-01",6.06286726984423
"34","Russia","RUS","RUB",42,28.4055,"","2005-06-01",1.47858689338332
"35","Sweden","SWE","SEK",31,7.4402,"","2005-06-01",4.16655466250907
"36","Switzerland","CHE","CHF",6.3,1.2475,"","2005-06-01",5.0501002004008
"37","Ukraine","UKR","UAH",7.25,5.06,"","2005-06-01",1.43280632411067
"38","United States","USA","USD",3.06,1,"","2005-06-01",3.06
"39","Brazil","BRA","BRL",6.2,2.2615,"","2006-01-01",2.74154322352421
"40","Egypt","EGY","EGP",9.25,5.74,"","2006-01-01",1.61149825783972
"41","Russia","RUS","RUB",46,28.67,"","2006-01-01",1.60446459713987
"42","Sweden","SWE","SEK",33,7.7119,"","2006-01-01",4.27910112942336
"43","Switzerland","CHE","CHF",6.3,1.2776,"","2006-01-01",4.93112085159674
"44","United States","USA","USD",3.15,1,"","2006-01-01",3.15
"45","Brazil","BRA","BRL",6.4,2.3045,"","2006-05-01",2.77717509221089
"46","Egypt","EGY","EGP",9.5,5.77075,"","2006-05-01",1.64623315860157
"47","Norway","NOR","NOK",43,6.1023,"","2006-05-01",7.04652344198089
"48","Russia","RUS","RUB",48,27.06375,"","2006-05-01",1.77359013440488
"49","Sweden","SWE","SEK",33,7.28455,"","2006-05-01",4.53013569815569
"50","Switzerland","CHE","CHF",6.3,1.20885,"","2006-05-01",5.21156471026182
"51","Ukraine","UKR","UAH",8.5,5.05,"","2006-05-01",1.68316831683168
"52","United States","USA","USD",3.1,1,"","2006-05-01",3.1
"53","Brazil","BRA","BRL",6.4,2.1335,"","2007-01-01",2.99976564330912
"54","Egypt","EGY","EGP",9.09,5.7,"","2007-01-01",1.59473684210526
"55","Norway","NOR","NOK",41.5,6.1023,"","2007-01-01",6.80071448470249
"56","Russia","RUS","RUB",49,26.5335,"","2007-01-01",1.84672206832872
"57","Sweden","SWE","SEK",32,7.04125,"","2007-01-01",4.54464761228475
"58","Switzerland","CHE","CHF",6.3,1.2485,"","2007-01-01",5.04605526631958
"59","Ukraine","UKR","UAH",9,5.05,"","2007-01-01",1.78217821782178
"60","United States","USA","USD",3.22,1,"","2007-01-01",3.22
"61","Brazil","BRA","BRL",6.9,1.913,"","2007-06-01",3.60690015682175
"62","Egypt","EGY","EGP",9.54,5.69025,"","2007-06-01",1.67655199683669
"63","Norway","NOR","NOK",40,5.8139,"","2007-06-01",6.88006329658233
"64","Russia","RUS","RUB",52,25.64825,"","2007-06-01",2.0274287719435
"65","Sweden","SWE","SEK",33,6.79165,"","2007-06-01",4.85890762922118
"66","Switzerland","CHE","CHF",6.3,1.2112,"","2007-06-01",5.20145310435931
